"","abortion","state","eth","male","age","educ","party"
"294",1,"AR","White",0.5,"60-69","HS","Republican"
"295",0,"TX","White",0.5,"70+","4-Year College","Democrat"
"296",1,"OK","Other",0.5,"50-59","Some college","Independent"
"297",0,"LA","White",-0.5,"50-59","Some college","Independent"
"298",0,"NV","White",-0.5,"60-69","4-Year College","Democrat"
"299",1,"LA","Hispanic",-0.5,"30-39","Post-grad","Republican"
"300",0,"MI","White",-0.5,"60-69","4-Year College","Democrat"
"301",0,"TN","White",-0.5,"40-49","Some college","Republican"
"302",0,"TX","White",-0.5,"60-69","Some college","Democrat"
"303",0,"NV","White",0.5,"18-29","4-Year College","Democrat"
"304",1,"TN","White",0.5,"50-59","HS","Independent"
"305",0,"OR","White",0.5,"60-69","4-Year College","Independent"
"306",1,"FL","White",0.5,"40-49","HS","Republican"
"307",0,"AZ","White",-0.5,"40-49","Some college","Democrat"
"308",1,"FL","White",-0.5,"60-69","Some college","Independent"
"309",1,"AL","White",0.5,"40-49","Some college","Republican"
"310",0,"OH","White",-0.5,"30-39","Post-grad","Independent"
"311",0,"OH","White",-0.5,"18-29","HS","Democrat"
"312",1,"UT","White",0.5,"60-69","Post-grad","Republican"
"313",1,"CA","Black",-0.5,"30-39","Some college","Independent"
"314",0,"FL","White",0.5,"50-59","HS","Independent"
"315",0,"LA","White",-0.5,"18-29","HS","Independent"
"316",0,"IL","Black",-0.5,"40-49","Post-grad","Democrat"
"317",0,"NY","White",0.5,"18-29","Post-grad","Democrat"
"318",0,"FL","Black",-0.5,"40-49","Some college","Democrat"
"319",0,"NY","White",0.5,"30-39","Post-grad","Independent"
"320",0,"IN","White",0.5,"60-69","Some college","Democrat"
"322",0,"TX","White",-0.5,"40-49","HS","Independent"
"323",1,"TN","White",-0.5,"50-59","Some college","Independent"
"324",0,"LA","Black",0.5,"50-59","HS","Independent"
"325",0,"NY","Black",-0.5,"60-69","4-Year College","Democrat"
"326",1,"NJ","White",-0.5,"30-39","4-Year College","Republican"
"327",0,"OH","White",0.5,"30-39","4-Year College","Democrat"
"328",1,"CA","White",0.5,"60-69","Some college","Republican"
"329",1,"MD","Other",-0.5,"60-69","Post-grad","Republican"
"330",1,"ID","White",-0.5,"50-59","4-Year College","Independent"
"331",0,"HI","Other",-0.5,"40-49","HS","Democrat"
"332",0,"CA","White",-0.5,"60-69","Some college","Democrat"
"333",0,"FL","White",-0.5,"60-69","Some college","Democrat"
"334",1,"CA","White",-0.5,"40-49","Post-grad","Independent"
"335",1,"WI","White",-0.5,"70+","Some college","Republican"
"336",0,"AK","Other",0.5,"70+","Some college","Independent"
"337",0,"FL","White",-0.5,"70+","Some college","Democrat"
"338",0,"NM","White",-0.5,"60-69","4-Year College","Democrat"
"339",0,"FL","Other",-0.5,"50-59","Some college","Independent"
"340",1,"MO","White",-0.5,"18-29","Some college","Republican"
"341",1,"IL","White",0.5,"60-69","4-Year College","Independent"
"342",1,"NH","White",-0.5,"70+","HS","Republican"
"343",0,"NC","White",0.5,"50-59","Some college","Democrat"
"344",0,"FL","White",-0.5,"30-39","Post-grad","Democrat"
"345",0,"SC","White",-0.5,"18-29","Some college","Independent"
"346",1,"CA","White",0.5,"70+","Post-grad","Republican"
"347",1,"FL","White",-0.5,"60-69","HS","Republican"
"348",0,"NC","White",-0.5,"60-69","Some college","Democrat"
"349",0,"GA","White",0.5,"70+","Some college","Democrat"
"350",0,"WI","White",-0.5,"50-59","HS","Independent"
"351",1,"MN","White",0.5,"50-59","Some college","Independent"
"352",0,"NC","White",0.5,"50-59","HS","Independent"
"353",0,"NY","White",0.5,"60-69","Some college","Democrat"
"354",1,"AL","White",-0.5,"30-39","4-Year College","Republican"
"355",0,"TX","Black",-0.5,"50-59","4-Year College","Democrat"
"356",1,"VA","White",0.5,"70+","Post-grad","Republican"
"357",0,"MD","White",0.5,"70+","Post-grad","Democrat"
"358",1,"PA","White",-0.5,"40-49","Post-grad","Republican"
"359",0,"AL","White",-0.5,"50-59","4-Year College","Democrat"
"360",1,"ID","White",-0.5,"60-69","Some college","Republican"
"361",1,"NC","White",0.5,"60-69","Some college","Independent"
"362",1,"MI","White",0.5,"50-59","HS","Independent"
"363",0,"FL","Other",0.5,"60-69","Some college","Democrat"
"364",1,"GA","White",0.5,"60-69","4-Year College","Independent"
"365",0,"MD","White",-0.5,"18-29","Post-grad","Republican"
"366",1,"FL","White",0.5,"60-69","4-Year College","Republican"
"367",0,"FL","White",-0.5,"60-69","4-Year College","Democrat"
"368",0,"CT","White",-0.5,"60-69","Post-grad","Republican"
"369",0,"NY","White",0.5,"70+","HS","Democrat"
"370",1,"NY","White",-0.5,"50-59","HS","Independent"
"371",0,"CO","White",0.5,"60-69","Post-grad","Democrat"
"373",0,"MI","White",0.5,"30-39","4-Year College","Independent"
"374",1,"GA","White",-0.5,"50-59","4-Year College","Independent"
"375",1,"FL","White",0.5,"70+","No HS","Republican"
"376",0,"TX","Hispanic",-0.5,"18-29","4-Year College","Independent"
"377",0,"CO","White",0.5,"60-69","Post-grad","Democrat"
"378",1,"GA","White",-0.5,"50-59","Some college","Republican"
"379",0,"NY","White",-0.5,"40-49","HS","Democrat"
"380",0,"FL","White",-0.5,"50-59","Post-grad","Independent"
"381",1,"WI","White",0.5,"30-39","Some college","Independent"
"382",0,"WI","White",-0.5,"30-39","Post-grad","Democrat"
"383",1,"CA","Other",0.5,"70+","Some college","Republican"
"384",0,"OR","White",-0.5,"60-69","Some college","Democrat"
"385",0,"IN","Black",-0.5,"50-59","4-Year College","Democrat"
"386",0,"AL","White",-0.5,"60-69","Some college","Independent"
"387",1,"CO","White",-0.5,"40-49","Post-grad","Republican"
"388",0,"NJ","White",-0.5,"50-59","Post-grad","Democrat"
"389",0,"NV","Other",0.5,"40-49","Post-grad","Democrat"
"390",1,"OR","White",-0.5,"70+","HS","Independent"
"391",0,"WA","White",-0.5,"50-59","4-Year College","Independent"
"392",0,"SC","White",-0.5,"70+","Post-grad","Republican"
"393",0,"MD","White",-0.5,"70+","Post-grad","Democrat"
"394",0,"GA","White",0.5,"50-59","Post-grad","Democrat"
"396",0,"NY","White",-0.5,"70+","4-Year College","Democrat"
"397",1,"CA","White",0.5,"50-59","4-Year College","Independent"
"398",1,"NY","White",-0.5,"60-69","Post-grad","Independent"
"399",1,"TX","White",0.5,"60-69","Some college","Independent"
"400",1,"IN","White",-0.5,"60-69","4-Year College","Democrat"
"401",0,"NJ","White",-0.5,"50-59","Some college","Democrat"
"402",0,"VA","White",-0.5,"60-69","4-Year College","Independent"
"403",1,"CA","White",-0.5,"70+","Post-grad","Democrat"
"404",0,"IL","White",-0.5,"40-49","Some college","Democrat"
"405",1,"PA","White",-0.5,"40-49","HS","Independent"
"407",1,"NY","White",-0.5,"18-29","Some college","Independent"
"408",0,"VA","White",0.5,"70+","Post-grad","Democrat"
"409",0,"OH","Black",0.5,"50-59","HS","Independent"
"410",0,"MI","White",0.5,"60-69","Some college","Republican"
"411",1,"PA","White",0.5,"30-39","4-Year College","Republican"
"412",0,"TX","White",0.5,"60-69","4-Year College","Democrat"
"413",0,"AL","White",0.5,"50-59","4-Year College","Democrat"
"414",0,"TN","White",-0.5,"18-29","HS","Independent"
"415",0,"CA","White",-0.5,"50-59","Post-grad","Democrat"
"416",1,"FL","White",-0.5,"60-69","Some college","Republican"
"417",1,"KY","White",-0.5,"50-59","4-Year College","Republican"
"418",0,"ME","White",0.5,"60-69","No HS","Democrat"
"419",0,"FL","White",-0.5,"18-29","Some college","Independent"
"420",1,"MD","White",0.5,"70+","HS","Independent"
"421",0,"TX","Black",-0.5,"40-49","Some college","Independent"
"422",0,"TX","White",-0.5,"70+","Post-grad","Independent"
"423",0,"CA","White",-0.5,"30-39","4-Year College","Democrat"
"424",1,"WV","White",-0.5,"30-39","Post-grad","Independent"
"425",0,"VT","White",-0.5,"30-39","Post-grad","Independent"
"426",0,"NC","White",0.5,"40-49","4-Year College","Independent"
"427",0,"NY","White",-0.5,"40-49","4-Year College","Independent"
"428",1,"TN","White",-0.5,"50-59","4-Year College","Democrat"
"429",0,"VA","White",0.5,"40-49","4-Year College","Democrat"
"430",0,"IL","White",-0.5,"60-69","4-Year College","Republican"
"431",0,"PA","White",0.5,"70+","4-Year College","Democrat"
"432",0,"IL","White",-0.5,"30-39","Some college","Democrat"
"433",1,"FL","White",-0.5,"60-69","Some college","Republican"
"434",0,"IN","White",-0.5,"40-49","4-Year College","Independent"
"435",0,"CO","White",-0.5,"30-39","Some college","Republican"
"436",0,"PA","White",-0.5,"50-59","4-Year College","Republican"
"437",0,"OH","White",0.5,"50-59","4-Year College","Independent"
"438",1,"NY","White",0.5,"18-29","HS","Independent"
"439",0,"LA","White",-0.5,"18-29","HS","Independent"
"440",1,"CA","White",0.5,"50-59","Post-grad","Republican"
"441",0,"IA","White",-0.5,"30-39","Some college","Independent"
"442",0,"NC","Black",-0.5,"18-29","Some college","Democrat"
"443",1,"AL","White",0.5,"40-49","4-Year College","Independent"
"444",1,"TX","White",-0.5,"60-69","Post-grad","Republican"
"445",1,"OK","White",0.5,"60-69","Post-grad","Independent"
"446",0,"OH","White",-0.5,"60-69","4-Year College","Democrat"
"447",1,"MI","White",0.5,"18-29","4-Year College","Independent"
"448",1,"AL","White",-0.5,"70+","Some college","Republican"
"449",0,"OR","White",0.5,"40-49","4-Year College","Democrat"
"450",0,"PA","White",0.5,"50-59","4-Year College","Democrat"
"451",1,"TX","White",0.5,"50-59","4-Year College","Independent"
"452",0,"CA","White",0.5,"60-69","No HS","Republican"
"453",0,"PA","White",-0.5,"60-69","HS","Republican"
"454",1,"MN","White",-0.5,"50-59","Some college","Independent"
